
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
explorer.exe                  2996 Console                    3     75,524 K Running         LAPTOP-1KAEDQCA\bless                                   0:01:07 N/A                                                                     
SECOCL64.exe                 10388 Console                    3         16 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
conhost.exe                  14312 Console                    3         12 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
ShellHost.exe                 7132 Console                    3      4,096 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 Quick Settings                                                          
svchost.exe                   2116 Services                   0        588 K Unknown         N/A                                                     0:00:00 N/A                                                                     
CrossDeviceResume.exe         3232 Console                    3      4,404 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 CrossDeviceResumeWindow                                                 
RtkAudUService64.exe         13216 Console                    3          4 K Running         N/A                                                     0:00:00 RealtekAudioAdminBackgroundProcessClass                                 
svchost.exe                  15604 Services                   0        896 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  13972 Console                    3        912 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
WidgetBoard.exe              10748 Console                    3      6,484 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:03 Windows Widgets                                                         
StartMenuExperienceHost.e    19004 Console                    3     11,572 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:06 Start                                                                   
RuntimeBroker.exe            17024 Console                    3      3,976 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 N/A                                                                     
svchost.exe                  13756 Console                    3      2,328 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
WidgetService.exe            19580 Console                    3      2,012 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 OLEChannelWnd                                                           
ctfmon.exe                   14088 Console                    3      6,540 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:07 N/A                                                                     
LockApp.exe                  12648 Console                    3          8 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 Windows Default Lock Screen                                             
RuntimeBroker.exe             2280 Console                    3      3,436 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 N/A                                                                     
svchost.exe                  16784 Console                    3      2,284 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
MicrosoftStartFeedProvide     5540 Console                    3      3,516 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:02 N/A                                                                     
SearchHost.exe               15080 Console                    3      8,772 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:03 Search                                                                  
msedgewebview2.exe            8024 Console                    3     17,492 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:09 Search                                                                  
msedgewebview2.exe           22200 Console                    3         12 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe            8152 Console                    3      7,320 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 OLEChannelWnd                                                           
msedgewebview2.exe           19432 Console                    3      4,784 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 N/A                                                                     
msedgewebview2.exe           22272 Console                    3      2,044 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe           20904 Console                    3      4,232 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:01 N/A                                                                     
SecurityHealthSystray.exe    14712 Console                    3         12 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
RtkAudUService64.exe         12352 Console                    3        956 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 RealtekAudioBackgroundProcessClass                                      
